Result_Type,Success_Level,Intelligence_Gained,Relationship_Change,Resource_Reward,Follow_Up_Investigations,World_Event_Trigger,Detection_Consequences,Timeline_Impact
Critical Success,95-100%,Complete target intelligence; Future plans revealed,+3 to country relations,High value reward,2-3 new investigations unlock,Major positive world event,No detection,Timeline stabilization
Major Success,80-94%,Primary objective achieved; Bonus intelligence,+2 to country relations,Medium-high reward,1-2 new investigations unlock,Positive world event,Low detection chance,Minor timeline improvement
Success,60-79%,Primary objective achieved,+1 to country relations,Standard reward,1 new investigation unlocks,Neutral world event,Medium detection chance,No timeline impact
Partial Success,40-59%,Incomplete intelligence; Missing key details,-0 to country relations,Reduced reward,50% chance of follow-up,Minor negative event,High detection chance,No timeline impact
Failure,20-39%,Minimal useful intelligence,-1 to country relations,No reward,Investigation becomes harder,Negative world event,Very high detection,Minor timeline disruption
Critical Failure,0-19%,False intelligence; Compromised operation,-2 to country relations,Resource loss penalty,Investigation locked for period,Major negative world event,Complete exposure,Major timeline disruption
LSW Recruitment,Recruitment Success,New LSW contact established,Varies by LSW alignment,Recruitment costs,Character-specific investigations,LSW availability change,Moderate detection,Character timeline integration
Technology Discovery,Tech Success,New technology schematics,+1 with tech-focused countries,Technology blueprints,Tech development investigations,Innovation announcement,Low detection,Technology advancement
Political Intelligence,Political Success,Government secrets revealed,Varies by revelation,Political favors,Corruption/conspiracy investigations,Political scandal,High detection if exposed,Political timeline shift
Corporate Espionage,Corporate Success,Business intelligence acquired,Varies by corporate interests,Financial benefits,Corporate network investigations,Market fluctuation,Moderate detection,Economic timeline impact
Criminal Network,Crime Success,Criminal contacts established,-1 with law enforcement; +1 with underworld,Black market access,Criminal organization investigations,Crime rate change,High law enforcement detection,Criminal timeline expansion
Alien Technology,Alien Success,Extraterrestrial tech acquired,+2 with science-focused countries,Alien artifacts,First contact investigations,Scientific breakthrough,Low detection,Alien timeline acceleration
Time Anomaly,Temporal Success,Timeline intelligence gained,No immediate change,Temporal knowledge,Paradox resolution investigations,Timeline stabilization,No normal detection,Major timeline repair
International Incident,Diplomatic Failure,Intelligence compromised,-3 with target country; -1 with allies,Diplomatic costs,Damage control investigations,International crisis,Complete exposure,Diplomatic timeline crisis
Cover Blown,Exposure Failure,Operation details leaked to enemies,-2 with all hostile factions,Operational security costs,Counter-intelligence investigations,Security crackdown,Maximum detection,Security timeline tightening
Asset Turned,Betrayal Failure,False intelligence fed to faction,-1 with country; +1 with enemies,No reward,Double agent investigations,Misinformation campaign,Delayed detection,Misinformation timeline
Military Response,Force Failure,Target reinforces security,-2 with target country,Medical costs,Military escalation investigations,Military buildup,Military detection,Military timeline escalation
Economic Sanctions,Economic Failure,Trade restrictions imposed,-1 with economic partners,Economic losses,Sanction bypass investigations,Economic downturn,Political detection,Economic timeline depression
Media Exposure,Public Failure,Investigation becomes public knowledge,-1 with all countries,Public relations costs,Media management investigations,Public opinion shift,Media detection,Public awareness timeline
Terrorist Retaliation,Security Failure,Terrorist attack on faction assets,-0 with all countries,Infrastructure damage,Anti-terrorism investigations,Terror alert level increase,No detection needed,Security timeline destabilization
Scientific Breakthrough,Research Success,Scientific advancement achieved,+2 with research institutions,Research grants,Scientific application investigations,Technology revolution,Low detection,Scientific timeline acceleration
Religious Conflict,Faith Failure,Religious tensions escalate,-2 with religious countries,Cultural losses,Religious reconciliation investigations,Religious unrest,Religious authority detection,Religious timeline fracture
Environmental Crisis,Ecological Failure,Environmental disaster triggered,-1 with environmentalist countries,Cleanup costs,Environmental restoration investigations,Ecological crisis,Environmental detection,Environmental timeline degradation
Pandemic Outbreak,Biological Failure,Disease outbreak from compromised investigation,-2 with health-focused countries,Medical emergency costs,Disease control investigations,Global health emergency,Medical detection,Health timeline crisis
Information Warfare,Cyber Failure,Cyber attack on faction systems,-1 with technology partners,Cybersecurity costs,Cyber defense investigations,Information warfare escalation,Digital detection,Information timeline vulnerability
Cultural Exchange,Cultural Success,Deep cultural understanding gained,+3 with cultural target,Cultural artifacts,Cultural preservation investigations,Cultural renaissance,Very low detection,Cultural timeline enrichment
Academic Partnership,Academic Success,Research collaboration established,+2 with educational institutions,Academic resources,Joint research investigations,Educational advancement,Very low detection,Academic timeline progress
Humanitarian Success,Aid Success,Humanitarian reputation improved,+2 with developing nations,Humanitarian resources,Aid distribution investigations,Humanitarian crisis resolution,No detection,Humanitarian timeline improvement
Underground Network,Criminal Success,Criminal underground access gained,+1 with criminal elements; -1 with law enforcement,Black market privileges,Underground economy investigations,Criminal network expansion,High law enforcement detection,Criminal timeline dominance
Revolutionary Contact,Political Success,Revolutionary movement contact established,Varies by government stability,Revolutionary resources,Revolutionary support investigations,Political instability,Very high government detection,Revolutionary timeline acceleration
Spiritual Awakening,Mystical Success,Spiritual knowledge and contacts gained,+2 with spiritual communities,Spiritual artifacts,Mystical phenomenon investigations,Spiritual revival,Low detection,Spiritual timeline elevation
Technological Singularity,AI Success,Advanced AI technology discovered,+3 with tech nations,AI technology,AI control investigations,Technological revolution,Moderate detection,AI timeline acceleration
Alien Contact,First Contact Success,Direct alien species communication,+5 with science communities,Alien alliance,Alien diplomacy investigations,First Contact announcement,No human detection,Alien timeline integration
Dimensional Breach,Reality Success,Access to parallel dimensions discovered,Unknown relationship changes,Dimensional technology,Reality stability investigations,Reality anomaly,Dimensional detection only,Multiverse timeline fracture
Economic Empire,Corporate Success,Multinational corporate control achieved,+1 with capitalist countries; -1 with socialist countries,Corporate empire,Market manipulation investigations,Economic restructuring,Corporate detection,Economic timeline domination
Military Alliance,Defense Success,Military cooperation treaty signed,+3 with military allies,Military resources,Joint operations investigations,Military alliance formation,Military intelligence detection,Military timeline strengthening
