Section,Description
---EDUCATION AND CAREER COMPLETE SYSTEM---,Comprehensive education levels; career paths; skill grants; research capabilities; and system integration

===EDUCATION LEVELS===
Level_ID,Level_Name,Years,Age_Min,Stat_Requirements,Description,Unlocks
EDU_00,No_Formal_Education,0,0,None,No schooling - street learned or self-taught,Basic jobs only
EDU_01,Elementary,6,6,None,Basic reading/writing/math,Entry labor jobs
EDU_02,High_School,12,14,INT 8+,Standard secondary education,Rank 1 jobs; Basic training
EDU_03,Trade_School,14,18,INT 10+,Vocational/technical training,Skilled labor; Rank 1-2 technical jobs
EDU_04,Associates_Degree,14,18,INT 12+,2-year college degree,Rank 1-2 professional jobs
EDU_05,Bachelors_Degree,16,18,INT 15+,4-year university degree,Rank 2-3 professional jobs; Research Assistant
EDU_06,Masters_Degree,18,22,INT 20+,Graduate degree specialization,Rank 3-4 jobs; Lead Researcher
EDU_07,Doctorate_PhD,22,26,INT 30+,Highest academic achievement,Rank 4-5 jobs; Principal Investigator; Any research
EDU_08,Post_Doctoral,24+,28,INT 35+,Advanced research position,Rank 5 jobs; Cutting-edge research
EDU_09,Military_Basic,0.5,18,STA 12+,Basic military training,Military Rank 1 jobs
EDU_10,Military_Advanced,2,20,STA 15+ MEL 15+,Advanced military training,Military Rank 2-3 jobs
EDU_11,Military_Special_Ops,4,22,STA 20+ MEL 20+ AGL 20+,Elite forces training,Military Rank 4 jobs; Special operations
EDU_12,Intelligence_Training,3,21,INT 20+ INS 20+,Spy/intelligence training,Intelligence jobs; Covert operations

===EDUCATION STAT BONUSES===
Level_ID,INT_Bonus,INS_Bonus,Other_Bonuses,Research_Capability,Notes
EDU_00,+0,+0,Streetwise +1CS,None,Learn from experience
EDU_01,+1,+0,None,None,Basic literacy
EDU_02,+2,+1,None,None,Well-rounded education
EDU_03,+2,+2,Technical +1CS,Basic_Tech,Hands-on skills
EDU_04,+3,+1,Specialty +1CS,Basic,College foundation
EDU_05,+4,+2,Specialty +2CS,Intermediate,Professional competence
EDU_06,+5,+3,Specialty +3CS; Research +1CS,Advanced,Expert level
EDU_07,+7,+4,Specialty +4CS; Research +2CS,Expert,World-class knowledge
EDU_08,+8,+5,Specialty +5CS; Research +3CS,Cutting_Edge,Frontier of knowledge
EDU_09,+0,+2,Combat +1CS; Tactics +1CS,None,Military fundamentals
EDU_10,+1,+3,Combat +2CS; Tactics +2CS,Basic_Military,Combat specialist
EDU_11,+2,+4,Combat +3CS; Tactics +3CS; Stealth +2CS,Military_Tech,Elite warrior
EDU_12,+3,+5,Espionage +3CS; Deception +2CS; Languages +2CS,Intelligence,Spy training

===CAREER CATEGORIES===
Category_ID,Category_Name,Code,Description,Key_Skills,Research_Types,Investigation_Types
CAT_01,Medical_Life_Sciences,MED,"Doctors, researchers, biologists",Medicine; Forensics; Chemistry; Biology,Bio_Tech; Medical; Mutagenics,Forensic; Biological; Medical
CAT_02,Visual_Performance_Arts,ART,"Artists, performers, media",Performance; Deception; Social; Media,None,Social; Media; Cultural
CAT_03,Liberal_Arts_Education,EDU,"Teachers, politicians, journalists",Research; Persuasion; Writing; History,Historical; Social,Political; Academic; Historical
CAT_04,Engineering_Technology,TECH,"Engineers, programmers, scientists",Engineering; Computers; Physics; Electronics,All_Tech; Weapons; Armor; Vehicles,Technical; Cyber; Scientific
CAT_05,Business_Finance,BIZ,"Corporate, finance, economics",Finance; Negotiation; Management; Economics,None,Corporate; Financial; White_Collar
CAT_06,Psychology_Social,PSY,"Psychologists, counselors, mentalists",Psychology; Interrogation; Insight; Therapy,Psi_Tech; Social,Psychological; Criminal; Cult
CAT_07,Physical_Combat,PHY,"Military, police, athletes",Combat; Athletics; Tactics; Survival,Basic_Military,Criminal; Security; Gang

===CAREER PATHS - MEDICAL & LIFE SCIENCES (CAT_01)===
Job_ID,Job_Title,Category,Rank,Education_Required,Stat_Requirements,Skills_Granted,Research_Unlocks,Investigation_Bonus,Equipment_Access,Income_Level,Notes
JOB_MED_001,EMT,MED,1,Trade_School,STA 12+,First_Aid +2CS; Emergency +1CS,None,+1CS Medical investigations,Medical_Basic,Low,Emergency responder
JOB_MED_002,Nurse,MED,1,Associates,INT 12+ INS 12+,Medicine +1CS; First_Aid +2CS; Patient_Care +1CS,None,+1CS Medical investigations,Medical_Basic,Medium,Healthcare support
JOB_MED_003,Clinical_Physician,MED,1,Bachelors,INT 15+,Medicine +2CS; Diagnosis +2CS; First_Aid +1CS,Basic_Medical,+2CS Medical investigations,Medical_Full,High,General practitioner
JOB_MED_004,Veterinarian,MED,1,Bachelors,INT 15+ INS 12+,Medicine +1CS; Animal_Handling +3CS; Biology +1CS,Basic_Bio,+1CS Animal-related investigations,Medical_Basic,Medium,Animal medicine
JOB_MED_005,Botanist,MED,1,Bachelors,INT 15+,Biology +2CS; Chemistry +1CS; Nature +2CS,Basic_Bio,+2CS Environmental investigations,Lab_Basic,Medium,Plant specialist
JOB_MED_006,Pharmacist,MED,1,Bachelors,INT 18+,Chemistry +2CS; Medicine +1CS; Toxicology +2CS,Basic_Chem,+2CS Poison/drug investigations,Pharmacy_Access,High,Drug specialist
JOB_MED_007,Radiologist,MED,2,Masters,INT 20+,Medicine +2CS; Imaging +3CS; Diagnosis +2CS,Medical_Imaging,+2CS Internal injury analysis,Medical_Imaging,Very_High,Imaging specialist
JOB_MED_008,Surgeon,MED,2,Doctorate,INT 25+ AGL 15+,Medicine +3CS; Surgery +4CS; First_Aid +2CS,Advanced_Medical,+2CS Injury analysis,Surgical_Suite,Very_High,Surgical specialist
JOB_MED_009,Forensic_Pathologist,MED,2,Doctorate,INT 25+,Forensics +4CS; Medicine +2CS; Investigation +2CS,Forensic_Tech,+4CS Murder investigations,Forensics_Lab,Very_High,Death investigator
JOB_MED_010,Neurosurgeon,MED,3,Doctorate,INT 30+ AGL 18+,Medicine +3CS; Surgery +4CS; Neurology +4CS,Neuro_Tech,+3CS Brain-related cases,Neuro_Lab,Elite,Brain specialist
JOB_MED_011,Pharmaceutical_Researcher,MED,3,Doctorate,INT 30+,Chemistry +4CS; Biology +3CS; Research +3CS,Pharma_Research,+3CS Drug investigations,Pharma_Lab,Elite,Drug development
JOB_MED_012,Virology_Researcher,MED,4,Post_Doc,INT 35+,Biology +4CS; Medicine +3CS; Research +4CS,Virus_Research; Bio_Weapons,+4CS Disease investigations,BSL4_Lab,Elite,Virus specialist
JOB_MED_013,Biotech_Researcher,MED,4,Post_Doc,INT 35+,Biology +4CS; Engineering +3CS; Research +4CS,Bio_Tech; Genetic_Engineering,+4CS Biotech investigations,Biotech_Lab,Elite,Bio-engineering
JOB_MED_014,Mutagenics_Researcher,MED,5,Post_Doc,INT 40+,Biology +5CS; Genetics +5CS; Research +5CS,Mutagenics; Origin_Research,+5CS LSW origin investigations,Mutagenics_Lab,Elite,Power origin research
JOB_MED_015,Coroner,MED,2,Bachelors,INT 20+ CON 15+,Forensics +3CS; Medicine +2CS; Investigation +2CS,Forensic_Tech,+4CS Death investigations,Morgue_Access,High,Death examination

===CAREER PATHS - VISUAL & PERFORMANCE ARTS (CAT_02)===
Job_ID,Job_Title,Category,Rank,Education_Required,Stat_Requirements,Skills_Granted,Research_Unlocks,Investigation_Bonus,Equipment_Access,Income_Level,Notes
JOB_ART_001,Waiter,ART,1,High_School,AGL 10+,Social +1CS; Observation +1CS; Service +1CS,None,+1CS Social surveillance,None,Low,Service industry
JOB_ART_002,Fashion_Model,ART,1,High_School,AGL 12+,Social +2CS; Appearance +2CS; Deception +1CS,None,+2CS High society infiltration,Fashion_Access,Variable,Appearance-based career
