Template_ID,Template_Name,Combat_Scale,Narrative_Style,Word_Count,AI_Prompt_Template,Variables_Required,Output_Format,Media_Source,Tone,Example_Opening
TEMP_001,Local Hero Report,Street Level,Local News,150-200,"Generate a local news report about {Winner} stopping {Enemy_Type} in {Location}. Include {Property_Damage} and {Civilian_Impact}. Keep it realistic and focus on community impact.",Winner; Enemy_Type; Location; Property_Damage; Civilian_Impact,Local newspaper article,City Herald,Positive community focus,"Local hero saves the day as..."
TEMP_002,Crime Beat Coverage,Street Level,Crime Report,100-150,"Generate a police beat report about {Combat_Type} involving {Characters} in {Location}. Include arrest details and charges filed.",Combat_Type; Characters; Location; Arrests; Charges,Police report summary,Police Blotter,Professional law enforcement,"Police respond to superhuman incident..."
TEMP_003,Superhuman Showdown,City Level,Major News,250-300,"Generate a major news report about an epic battle between {Character_1} and {Character_2} in {Location}. Include {Property_Damage} and public safety concerns.",Character_1; Character_2; Location; Property_Damage; Public_Safety,Major news network,Channel 7 Action News,Dramatic superhuman focus,"Epic superhuman battle rocks downtown..."
TEMP_004,Investigation Breakthrough,Any Level,Investigative Report,200-250,"Generate an investigative journalism piece about how {Combat_Result} led to breakthrough in {Investigation_Topic}. Include sources and implications.",Combat_Result; Investigation_Topic; Sources; Implications,Investigative journalism,Metro Investigates,Serious journalistic tone,"Superhuman incident reveals shocking..."
TEMP_005,Military Operation,National Level,Defense Report,300-350,"Generate a military press briefing about {Operation_Name} involving LSW assets. Include strategic objectives and operational success.",Operation_Name; Strategic_Objectives; Operational_Success; Classified_Elements,Military press release,Department of Defense,Official military tone,"Defense Department confirms successful..."
TEMP_006,International Incident,Global Level,Diplomatic News,350-400,"Generate a diplomatic news analysis of {Incident_Type} between {Faction_1} and {Faction_2}. Include international law implications.",Incident_Type; Faction_1; Faction_2; International_Law; Diplomatic_Response,International news analysis,Global News Network,Serious diplomatic tone,"International crisis erupts as..."
TEMP_007,Scientific Discovery,Cosmic Level,Scientific Journal,400-500,"Generate a scientific analysis of {Phenomenon} observed during {Event}. Include theoretical implications and future research directions.",Phenomenon; Event; Theoretical_Implications; Research_Directions,Scientific journal article,Journal of Enhanced Human Studies,Academic scientific tone,"Unprecedented phenomenon observed during..."
TEMP_008,Casualty Report,Any Level,Medical Report,100-150,"Generate a medical report on casualties from {Combat_Event}. Include injury types and treatment requirements.",Combat_Event; Injury_Types; Treatment_Requirements; Hospital_Status,Medical situation report,Metro General Hospital,Professional medical tone,"Emergency department reports multiple..."
TEMP_009,Legal Analysis,Any Level,Legal Commentary,250-300,"Generate a legal analysis of {Legal_Issues} arising from {Combat_Event}. Include potential charges and constitutional questions.",Legal_Issues; Combat_Event; Potential_Charges; Constitutional_Questions,Legal commentary,Law Review Quarterly,Legal analytical tone,"Legal experts debate implications..."
TEMP_010,Economic Impact,Regional/Global,Financial News,200-250,"Generate a financial news report on economic impact of {Combat_Event}. Include insurance claims and market effects.",Combat_Event; Insurance_Claims; Market_Effects; Economic_Consequences,Financial news report,Financial Times,Economic analytical tone,"Market analysts estimate total damage..."
TEMP_011,Eyewitness Account,Any Level,Personal Testimony,150-200,"Generate a civilian eyewitness account of {Combat_Event}. Include personal perspective and emotional impact.",Combat_Event; Personal_Perspective; Emotional_Impact; Witness_Location,Personal testimony,Social media post,Personal emotional tone,"I was there when it happened..."
TEMP_012,Heroic Moment,Any Level,Inspirational Story,200-250,"Generate an inspirational account of {Heroic_Action} during {Combat_Event}. Focus on courage and self-sacrifice.",Heroic_Action; Combat_Event; Self_Sacrifice; Inspiration,Human interest story,Hope Magazine,Inspirational uplifting tone,"In humanity's darkest moment..."
TEMP_013,Villain Profile,Any Level,Criminal Analysis,250-300,"Generate a criminal profile analysis of {Villain_Name} after {Combat_Event}. Include psychological assessment and threat evaluation.",Villain_Name; Combat_Event; Psychological_Assessment; Threat_Evaluation,Criminal psychology report,FBI Behavioral Analysis,Professional criminal analysis tone,"Psychological profile reveals disturbing..."
