Attribute_Category,Attribute_Name,Attribute_Code,Value_Range,Description,Combat_Application,Investigation_Application,Daily_Life_Application,Progression_Method
Primary_Stats,Melee,MEL,1-100,Hand-to-hand combat ability,+1CS per 10 points above 30 to melee attacks,+1CS per 15 points to physical investigation,Affects intimidation and physical presence,Combat training and practice
Primary_Stats,Agility,AGL,1-100,Speed and dexterity,+1CS per 10 points above 30 to ranged attacks and dodge,+1CS per 15 points to stealth investigation,Affects athletic activities and reaction time,Physical training and practice
Primary_Stats,Strength,STR,1-100,Physical power,Determines damage bonus and lifting capacity,+1CS per 15 points to physical investigation,Affects manual labor and physical tasks,Weight training and physical enhancement
Primary_Stats,Stamina,STA,1-100,Endurance and health,Determines health points and fatigue resistance,+1CS per 20 points to extended investigation,Affects work capacity and recovery time,Endurance training and conditioning
Primary_Stats,Intelligence,INT,1-100,Reasoning and problem solving,+1CS per 15 points to tactical planning,+1CS per 10 points to analytical investigation,Affects learning speed and problem solving,Education and mental training
Primary_Stats,Instinct,INS,1-100,Intuition and awareness,+1CS per 15 points to initiative and detection,+1CS per 10 points to intuitive investigation,Affects danger sense and social reading,Experience and awareness training
Primary_Stats,Constitution,CON,1-100,Physical resilience,+1CS per 15 points to resist status effects,+1CS per 20 points to investigation endurance,Affects disease resistance and recovery,Health maintenance and medical treatment
LSW_Classification,Threat_Level,THREAT,Alpha to Level 5,Official government threat assessment,Affects all combat calculations significantly,Determines investigation authority level,Affects public recognition and legal status,Cannot be trained; determined by powers and assessment
LSW_Classification,Origin_Type,ORIGIN,9 categories,Source of superhuman abilities,Affects available powers and equipment,Determines investigation method bonuses,Affects social acceptance and legal status,Fixed at character creation
LSW_Classification,Primary_Power,POWER_1,300+ power options,Main superhuman ability,Primary combat capability,Primary investigation specialty,Defines public identity and role,Can be enhanced through technology research
LSW_Classification,Secondary_Power,POWER_2,300+ power options,Additional superhuman ability (optional),Secondary combat capability,Secondary investigation specialty,Additional identity elements,Can be gained through advancement or alien contact
