Tech_Tree_ID,Tree_Name,Required_Career_Category,Required_Career_Rank,Tech_Node_Name,Prerequisites,Research_Time_Days,Resource_Cost,Country_Education_Modifier,Description,Unlocks_Equipment,Unlocks_Abilities,Team_Benefits
MED_001,Medical Technology,Medical & Life Sciences,1,Basic First Aid,None,7,Low,+20% if country has High healthcare,Enhanced field medicine capabilities,Advanced Med Kit,+2CS medical treatment,Team healing between missions
MED_002,Medical Technology,Medical & Life Sciences,1,Forensic Analysis,None,10,Low,+15% if country has Medium+ science,Crime scene investigation enhancement,Forensic Scanner,+3CS investigation evidence,Faster investigation completion
MED_003,Medical Technology,Medical & Life Sciences,2,Advanced Surgery,Basic First Aid,21,Medium,+25% if country has Very High healthcare,Surgical expertise for critical injuries,Surgical Suite,Can treat Critical status effects,Hospital recovery time reduced 50%
MED_004,Medical Technology,Medical & Life Sciences,2,Radiation Medicine,None,14,Medium,+30% if country has nuclear capability,Treatment of radiation-based injuries,Rad-Away Injector,Cure Radiation Sickness I-II,Team immunity to low radiation
MED_005,Medical Technology,Medical & Life Sciences,3,Neurosurgery,Advanced Surgery,35,High,+40% if country has Extremely High science,Brain surgery and neurological repair,Neural Interface Kit,Can treat brain trauma and mind control,Mental status effect immunity
MED_006,Medical Technology,Medical & Life Sciences,4,Biotech Research,Neurosurgery + Radiation Medicine,50,Very High,+50% if country leads in biotech,Biotechnology and genetic research,Genetic Sequencer,Analyze LSW powers and origins,Can research power enhancement
MED_007,Medical Technology,Medical & Life Sciences,5,Mutagenics Research,Biotech Research,70,Ultra High,Only available in top-tier countries,Ultimate genetic manipulation,Mutation Chamber,Create artificial LSW powers,Can grant powers to normal humans
ART_001,Media Technology,Visual & Performance Arts,1,Basic Photography,None,5,Low,+10% if country has press freedom,Enhanced documentation and evidence gathering,Professional Camera,+2CS surveillance and documentation,Investigation photo evidence bonus
ART_002,Media Technology,Visual & Performance Arts,1,Performance Training,None,7,Low,+15% if country has cultural programs,Acting and deception training,Acting Kit,+2CS deception and disguise,Team coordination in undercover ops
ART_003,Media Technology,Visual & Performance Arts,2,Media Production,Basic Photography,14,Medium,+20% if country has media infrastructure,Professional media creation capabilities,Broadcasting Equipment,+3CS media manipulation,Control public opinion after missions
