Email_ID,Priority_Level,Subject_Template,Sender_Type,Investigation_Type,Urgency_Hours,Body_Template,Response_Options,Auto_Expire
EMAIL_001,High,URGENT: Gang Violence Escalating - {City_Name},Local Government,Gang War Escalation,24,"Minister {Contact_Name} here. The gang situation in {City_Name} has spiraled beyond our control. LSW mercenaries are involved and civilian casualties are mounting. We need immediate intervention before this spreads to neighboring areas. Time is critical.",Deploy Team Immediately;Send Investigators;Request More Information;Decline Mission,Yes
EMAIL_002,Medium,Industrial Sabotage Investigation - {City_Name},Corporate Contact,Corporate Sabotage,72,"This is {Contact_Name} from {Company_Name}. We've had a series of 'accidents' at our {City_Name} facility that follow suspicious patterns. Our security indicates possible LSW involvement. We're prepared to compensate your organization for a discrete investigation.",Accept Investigation;Negotiate Terms;Request Corporate Data;Decline,No
EMAIL_003,Critical,CLASSIFIED: Missing Government Officials,Intelligence Agency,Missing Politicians,12,"EYES ONLY - Agent {Contact_Name}. Three high-ranking officials have vanished without trace in the past week. All had access to LSW classification data. We suspect targeted abduction. National security implications. Immediate response required.",Emergency Response;Assign Top Investigators;Request Full Briefing;Security Concerns,Yes
EMAIL_004,High,Diplomatic Crisis - Foreign LSW Activity,Foreign Ministry,Diplomatic Incident,48,"Ambassador {Contact_Name} reporting. We have confirmed foreign LSWs operating within our sovereign territory without authorization. This could trigger Article 7 of the LSW Treaty if not resolved quickly. Your faction's discretion is needed to prevent international incident.",Diplomatic Investigation;Official Protest;Covert Surveillance;Military Response,Yes
EMAIL_005,Medium,Military Base Security Breach,Base Commander,Military Weapons Theft,36,"Colonel {Contact_Name}, {Base_Name}. Advanced weapons systems have been stolen from our secure facility. Preliminary investigation suggests LSW involvement with inside knowledge. Request immediate investigation team deployment before perpetrators disappear with military assets.",Deploy Security Team;Technical Investigation;Base Lockdown;Joint Investigation,No
EMAIL_006,Low,Religious Artifact Missing,Temple Authority,Artifact Theft,96,"Father {Contact_Name} from {Temple_Name}. Ancient artifacts with reported mystical properties have been stolen from our sanctuary. Local police believe LSW involvement due to the precise nature of the theft. We seek your help in recovering these sacred items.",Investigate Theft;Religious Consultation;Cultural Research;Decline Involvement,No
EMAIL_007,Critical,ALERT: Unidentified Aerial Phenomena,Air Traffic Control,Alien Technology Cache,6,"Control Tower {Location_Name} - {Contact_Name} reporting. Multiple aircraft detecting anomalous aerial objects with impossible flight characteristics. Objects appear to be technology beyond current capabilities. Military requests immediate LSW investigation team.",Emergency Deployment;Scientific Team;Military Coordination;Containment Protocol,Yes
EMAIL_008,High,Time Distortion Detected,Scientific Institute,Time Anomaly Investigation,18,"Dr. {Contact_Name}, {Institute_Name}. Our instruments have detected localized temporal distortions in the {Location_Name} area. Measurements suggest time travel activity. Given your faction's resources, we request immediate investigation before the anomaly destabilizes.",Deploy Time Walker;Scientific Investigation;Temporal Containment;Research Collaboration,Yes
EMAIL_009,Medium,Cross-Border LSW Incident,Border Authority,Cross-Border Incident,48,"Border Chief {Contact_Name}. LSW individuals have crossed international boundaries causing significant diplomatic tensions. Both nations are mobilizing forces. We need immediate mediation before this escalates to military action.",Diplomatic Mediation;Investigate Incident;Military Consultation;International Law Review,No
EMAIL_010,Low,Missing Person - LSW Suspected,Family Contact,LSW Trafficking Network,120,"My name is {Contact_Name} and my {Relation} disappeared last week. Police found evidence suggesting LSW involvement in human trafficking. I have no one else to turn to. Please help find {Missing_Person_Name} before it's too late.",Family Investigation;Police Cooperation;Trafficking Network;Missing Persons Unit,No
EMAIL_011,Medium,Corporate Whistleblower Contact,Anonymous Source,Tech Leak Investigation,60,"Anonymous whistleblower here. I have evidence that {Company_Name} is illegally selling LSW enhancement technology to foreign factions. I have documents but need protection. Can your organization guarantee my safety in exchange for this intelligence?",Protect Whistleblower;Request Evidence;Corporate Infiltration;Legal Immunity,No
EMAIL_012,High,Port Authority Emergency,Harbor Master,Port Smuggling Ring,30,"Harbor Master {Contact_Name}, {Port_Name}. We've discovered smuggling operations using LSW-enhanced methods to move illegal goods through our port. Local authorities are overwhelmed and corrupt officials may be involved. Need immediate clean-up operation.",Port Investigation;Customs Raid;Anti-Corruption;Maritime Security,Yes
